YearName,Topic,ViewBy,Grouping,Series,Value
2013,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,7.58
2014,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,7.6
2015,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,7.45
2016,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,9.99
2017,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,8.12
2011,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,18.07
2012,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,21.82
2013,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,21.61
2014,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,23.22
2015,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,24.8
2016,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,23.45
2017,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,20.94
2011,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,83.83
2012,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,86.27
2013,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,83.73
2014,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,88.65
2015,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,87.04
2016,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,82.47
2017,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,74.18
2018,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,26.7
2018,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,9
2018,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,41.6
2018,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,17.8
2018,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,79.1
2018,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,72.1
2018,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,168.9
2018,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,262.4
2019,"Case rates (cases per 100,000)",Age,Epi Class,CA - 1-17 years,25.8
2019,"Case rates (cases per 100,000)",Age,Epi Class,HA - 1-17 years,9
2019,"Case rates (cases per 100,000)",Age,Epi Class,CA - 18-44 years,40.5
2019,"Case rates (cases per 100,000)",Age,Epi Class,HA - 18-44 years,17.9
2019,"Case rates (cases per 100,000)",Age,Epi Class,CA - 45-64 years,73.7
2019,"Case rates (cases per 100,000)",Age,Epi Class,HA - 45-64 years,65.5
2019,"Case rates (cases per 100,000)",Age,Epi Class,CA - 65+ years,161.1
2019,"Case rates (cases per 100,000)",Age,Epi Class,HA - 65+ years,224.7
2011,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,98.13
2012,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,98.85
2013,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,99.83
2014,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,106.44
2015,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,112.99
2016,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,106.66
2017,"Case rates (cases per 100,000)",Race,All cases,All cases - Non-white,92.35
2011,"Case rates (cases per 100,000)",Race,All cases,All cases - White,159.56
2012,"Case rates (cases per 100,000)",Race,All cases,All cases - White,166.27
2013,"Case rates (cases per 100,000)",Race,All cases,All cases - White,160.15
2014,"Case rates (cases per 100,000)",Race,All cases,All cases - White,157.61
2015,"Case rates (cases per 100,000)",Race,All cases,All cases - White,165.05
2016,"Case rates (cases per 100,000)",Race,All cases,All cases - White,159.61
2017,"Case rates (cases per 100,000)",Race,All cases,All cases - White,148.56
2011,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,32.32
2012,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,30.41
2013,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,33.7
2014,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,39.68
2015,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,42.45
2016,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,44.26
2017,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,36.27
2011,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,55.06
2012,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,62.69
2013,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,65.41
2014,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,66.09
2015,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,76.65
2016,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,78.06
2017,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,76.35
2011,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,65.81
2012,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,68.44
2013,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,66.13
2014,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,66.77
2015,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,70.54
2016,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,62.4
2017,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,56.07
2011,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,104.5
2012,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,103.58
2013,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,94.74
2014,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,91.52
2015,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,88.4
2016,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,81.55
2017,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,72.21
2018,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,40
2018,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,53.2
2018,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,78.6
2018,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,69.5
2019,"Case rates (cases per 100,000)",Race,Epi Class,CA - Non-white,41.1
2019,"Case rates (cases per 100,000)",Race,Epi Class,HA - Non-white,51.8
2019,"Case rates (cases per 100,000)",Race,Epi Class,CA - White,74.2
2019,"Case rates (cases per 100,000)",Race,Epi Class,HA - White,60.9
2011,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,160.47
2012,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,168.87
2013,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,164.2
2014,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,163.53
2015,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,172.05
2016,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,161.1
2017,"Case rates (cases per 100,000)",Sex,All cases,All cases - Female,148.27
2011,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,120.63
2012,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,121.79
2013,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,118.45
2014,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,118.76
2015,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,124.03
2016,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,123.31
2017,"Case rates (cases per 100,000)",Sex,All cases,All cases - Male,111.53
2011,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,58.34
2012,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,64.77
2013,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,68.6
2014,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,71.06
2015,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,82.17
2016,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,81.45
2017,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,77.49
2011,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,37.6
2012,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,40.53
2013,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,42.39
2014,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,44.04
2015,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,48.74
2016,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,52.34
2017,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,48.53
2011,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,102.13
2012,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,104.1
2013,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,95.6
2014,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,92.47
2015,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,89.88
2016,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,79.65
2014,Number of cases,Age,All cases,All cases - 65+ years,8133
2017,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,70.77
2011,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,83.03
2012,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,81.26
2013,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,76.06
2014,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,74.73
2015,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,75.29
2016,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,70.97
2017,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,63
2018,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,49.5
2018,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,62
2018,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,81.7
2018,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,66.2
2019,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Male,49.9
2019,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Male,55.6
2019,"Case rates (cases per 100,000)",Sex,Epi Class,CA - Female,76
2019,"Case rates (cases per 100,000)",Sex,Epi Class,HA - Female,60.2
2018,Number of Cases,Age,All cases,All cases - 1-17 years,903
2018,Number of Cases,Age,All cases,All cases - 18-44 years,2787
2018,Number of Cases,Age,All cases,All cases - 45-64 years,4670
2018,Number of Cases,Age,All cases,All cases - 65+ years,7231
2019,Number of Cases,Age,All cases,All cases - 1-17 years,875
2019,Number of Cases,Age,All cases,All cases - 18-44 years,2761
2019,Number of Cases,Age,All cases,All cases - 45-64 years,4280
2019,Number of Cases,Age,All cases,All cases - 65+ years,6696
2018,Number of Cases,Race,All cases,All cases - Non-white,3661
2018,Number of Cases,Race,All cases,All cases - White,11930
2019,Number of Cases,Race,All cases,All cases - Non-white,3705
2019,Number of Cases,Race,All cases,All cases - White,10907
2018,Number of Cases,Sex,All cases,All cases - Male,6545
2018,Number of Cases,Sex,All cases,All cases - Female,9046
2019,Number of Cases,Sex,All cases,All cases - Male,6223
2019,Number of Cases,Sex,All cases,All cases - Female,8389
2011,Number of cases,Total,All cases,Total,15461
2012,Number of cases,Total,All cases,Total,16449
2013,Number of cases,Total,All cases,Total,16379
2014,Number of cases,Total,All cases,Total,16333
2015,Number of cases,Total,All cases,Total,17354
2016,Number of cases,Total,All cases,Total,16796
2017,Number of cases,Total,All cases,Total,15512
2011,Number of cases,Total,Epi Class,Community-associated,5284
2012,Number of cases,Total,Epi Class,Community-associated,5967
2013,Number of cases,Total,Epi Class,Community-associated,6441
2014,Number of cases,Total,Epi Class,Community-associated,6670
2015,Number of cases,Total,Epi Class,Community-associated,7688
2016,Number of cases,Total,Epi Class,Community-associated,7915
2017,Number of cases,Total,Epi Class,Community-associated,7539
2011,Number of cases,Total,Epi Class,Healthcare-associated,10177
2012,Number of cases,Total,Epi Class,Healthcare-associated,10482
2013,Number of cases,Total,Epi Class,Healthcare-associated,9938
2014,Number of cases,Total,Epi Class,Healthcare-associated,9663
2015,Number of cases,Total,Epi Class,Healthcare-associated,9666
2016,Number of cases,Total,Epi Class,Healthcare-associated,8881
2017,Number of cases,Total,Epi Class,Healthcare-associated,7973
2018,Number of Cases,Total,Epi Class,Community-associated,7901
2018,Number of Cases,Total,Epi Class,Healthcare-associated,7690
2018,Number of Cases,Total,All cases,Total,15591
2019,Number of Cases,Total,Epi Class,Community-associated,7627
2019,Number of Cases,Total,Epi Class,Healthcare-associated,6985
2019,Number of Cases,Total,All cases,Total,14612
2011,Number of cases,Age,All cases,All cases - 65+ years,8686
2012,Number of cases,Age,All cases,All cases - 65+ years,8872
2013,Number of cases,Age,All cases,All cases - 65+ years,8508
2015,Number of cases,Age,All cases,All cases - 65+ years,8391
2016,Number of cases,Age,All cases,All cases - 65+ years,7748
2017,Number of cases,Age,All cases,All cases - 65+ years,7323
2011,Number of cases,Age,All cases,All cases - 1-17 years,558
2012,Number of cases,Age,All cases,All cases - 1-17 years,601
2013,Number of cases,Age,All cases,All cases - 1-17 years,687
2014,Number of cases,Age,All cases,All cases - 1-17 years,772
2015,Number of cases,Age,All cases,All cases - 1-17 years,784
2016,Number of cases,Age,All cases,All cases - 1-17 years,885
2017,Number of cases,Age,All cases,All cases - 1-17 years,807
2011,Number of cases,Age,All cases,All cases - 18-44 years,2039
2012,Number of cases,Age,All cases,All cases - 18-44 years,2419
2013,Number of cases,Age,All cases,All cases - 18-44 years,2575
2014,Number of cases,Age,All cases,All cases - 18-44 years,2686
2015,Number of cases,Age,All cases,All cases - 18-44 years,3100
2016,Number of cases,Age,All cases,All cases - 18-44 years,3055
2017,Number of cases,Age,All cases,All cases - 18-44 years,2761
2011,Number of cases,Age,All cases,All cases - 45-64 years,4178
2012,Number of cases,Age,All cases,All cases - 45-64 years,4557
2013,Number of cases,Age,All cases,All cases - 45-64 years,4609
2014,Number of cases,Age,All cases,All cases - 45-64 years,4742
2015,Number of cases,Age,All cases,All cases - 45-64 years,5079
2016,Number of cases,Age,All cases,All cases - 45-64 years,5108
2017,Number of cases,Age,All cases,All cases - 45-64 years,4621
2011,Number of cases,Age,Epi Class,CA - 65+ years,1881
2012,Number of cases,Age,Epi Class,CA - 65+ years,2118
2013,Number of cases,Age,Epi Class,CA - 65+ years,2292
2014,Number of cases,Age,Epi Class,CA - 65+ years,2398
2015,Number of cases,Age,Epi Class,CA - 65+ years,2717
2016,Number of cases,Age,Epi Class,CA - 65+ years,2744
2017,Number of cases,Age,Epi Class,CA - 65+ years,2829
2011,Number of cases,Age,Epi Class,CA - 1-17 years,407
2012,Number of cases,Age,Epi Class,CA - 1-17 years,414
2013,Number of cases,Age,Epi Class,CA - 1-17 years,494
2014,Number of cases,Age,Epi Class,CA - 1-17 years,580
2015,Number of cases,Age,Epi Class,CA - 1-17 years,595
2016,Number of cases,Age,Epi Class,CA - 1-17 years,631
2017,Number of cases,Age,Epi Class,CA - 1-17 years,601
2011,Number of cases,Age,Epi Class,CA - 18-44 years,1250
2012,Number of cases,Age,Epi Class,CA - 18-44 years,1444
2013,Number of cases,Age,Epi Class,CA - 18-44 years,1592
2014,Number of cases,Age,Epi Class,CA - 18-44 years,1632
2015,Number of cases,Age,Epi Class,CA - 18-44 years,1964
2016,Number of cases,Age,Epi Class,CA - 18-44 years,1977
2017,Number of cases,Age,Epi Class,CA - 18-44 years,1787
2011,Number of cases,Age,Epi Class,CA - 45-64 years,1746
2012,Number of cases,Age,Epi Class,CA - 45-64 years,1991
2013,Number of cases,Age,Epi Class,CA - 45-64 years,2063
2014,Number of cases,Age,Epi Class,CA - 45-64 years,2060
2015,Number of cases,Age,Epi Class,CA - 45-64 years,2412
2016,Number of cases,Age,Epi Class,CA - 45-64 years,2563
2017,Number of cases,Age,Epi Class,CA - 45-64 years,2322
2011,Number of cases,Age,Epi Class,HA - 65+ years,6805
2012,Number of cases,Age,Epi Class,HA - 65+ years,6754
2013,Number of cases,Age,Epi Class,HA - 65+ years,6216
2014,Number of cases,Age,Epi Class,HA - 65+ years,5735
2015,Number of cases,Age,Epi Class,HA - 65+ years,5674
2016,Number of cases,Age,Epi Class,HA - 65+ years,5004
2017,Number of cases,Age,Epi Class,HA - 65+ years,4494
2011,Number of cases,Age,Epi Class,HA - 1-17 years,151
2012,Number of cases,Age,Epi Class,HA - 1-17 years,187
2013,Number of cases,Age,Epi Class,HA - 1-17 years,193
2014,Number of cases,Age,Epi Class,HA - 1-17 years,192
2015,Number of cases,Age,Epi Class,HA - 1-17 years,189
2016,Number of cases,Age,Epi Class,HA - 1-17 years,254
2017,Number of cases,Age,Epi Class,HA - 1-17 years,206
2011,Number of cases,Age,Epi Class,HA - 18-44 years,789
2012,Number of cases,Age,Epi Class,HA - 18-44 years,975
2013,Number of cases,Age,Epi Class,HA - 18-44 years,983
2014,Number of cases,Age,Epi Class,HA - 18-44 years,1054
2015,Number of cases,Age,Epi Class,HA - 18-44 years,1136
2016,Number of cases,Age,Epi Class,HA - 18-44 years,1078
2017,Number of cases,Age,Epi Class,HA - 18-44 years,974
2011,Number of cases,Age,Epi Class,HA - 45-64 years,2432
2012,Number of cases,Age,Epi Class,HA - 45-64 years,2566
2013,Number of cases,Age,Epi Class,HA - 45-64 years,2546
2014,Number of cases,Age,Epi Class,HA - 45-64 years,2682
2015,Number of cases,Age,Epi Class,HA - 45-64 years,2667
2016,Number of cases,Age,Epi Class,HA - 45-64 years,2545
2017,Number of cases,Age,Epi Class,HA - 45-64 years,2299
2018,Number of Cases,Age,Epi Class,CA - 1-17 years,675
2018,Number of Cases,Age,Epi Class,HA - 1-17 years,228
2018,Number of Cases,Age,Epi Class,CA - 18-44 years,1951
2018,Number of Cases,Age,Epi Class,HA - 18-44 years,836
2018,Number of Cases,Age,Epi Class,CA - 45-64 years,2443
2018,Number of Cases,Age,Epi Class,HA - 45-64 years,2227
2018,Number of Cases,Age,Epi Class,CA - 65+ years,2832
2018,Number of Cases,Age,Epi Class,HA - 65+ years,4399
2019,Number of Cases,Age,Epi Class,CA - 1-17 years,649
2019,Number of Cases,Age,Epi Class,HA - 1-17 years,226
2019,Number of Cases,Age,Epi Class,CA - 18-44 years,1916
2019,Number of Cases,Age,Epi Class,HA - 18-44 years,845
2019,Number of Cases,Age,Epi Class,CA - 45-64 years,2266
2019,Number of Cases,Age,Epi Class,HA - 45-64 years,2014
2019,Number of Cases,Age,Epi Class,CA - 65+ years,2796
2019,Number of Cases,Age,Epi Class,HA - 65+ years,3900
2011,Number of cases,Race,All cases,All cases - Non-white,3267
2012,Number of cases,Race,All cases,All cases - Non-white,3390
2013,Number of cases,Race,All cases,All cases - Non-white,3513
2014,Number of cases,Race,All cases,All cases - Non-white,3839
2015,Number of cases,Race,All cases,All cases - Non-white,4184
2016,Number of cases,Race,All cases,All cases - Non-white,4032
2017,Number of cases,Race,All cases,All cases - Non-white,3575
2011,Number of cases,Race,All cases,All cases - White,12194
2012,Number of cases,Race,All cases,All cases - White,13059
2013,Number of cases,Race,All cases,All cases - White,12866
2014,Number of cases,Race,All cases,All cases - White,12494
2015,Number of cases,Race,All cases,All cases - White,13170
2016,Number of cases,Race,All cases,All cases - White,12764
