YearName,Topic,Viewby,Series,Value
2009,Species,Area: Georgia,C. parapsilosis,0.184
2009,Species,Area: Georgia,C. tropicalis,0.088
2009,Species,Area: Georgia,"Candida, multiple species",0.039
2009,Species,Area: Georgia,"Candida, other species",0.015
2009,Species,Area: Maryland,C. albicans,0.316
2009,Species,Area: Maryland,C. glabrata,0.305
2009,Species,Area: Maryland,C. krusei,0.008
2009,Species,Area: Maryland,C. lusitaniae,0.013
2009,Species,Area: Maryland,C. parapsilosis,0.153
2009,Species,Area: Maryland,C. tropicalis,0.124
2009,Species,Area: Maryland,"Candida, multiple species",0.047
2009,Species,Area: Maryland,"Candida, other species",0.034
2010,Drug resistance,Candida albicans,Echinocandin,0.004
2010,Drug resistance,Candida albicans,Fluconazole,0.032
2010,Drug resistance,Candida albicans,Multi-drug,0
2010,Drug resistance,Candida albicans,Voriconazole,0.011
2010,Drug resistance,Candida glabrata,Echinocandin,0.02
2010,Drug resistance,Candida glabrata,Fluconazole,0.116
2010,Drug resistance,Candida glabrata,Multi-drug,0
2010,Drug resistance,Candida krusei,Echinocandin,0
2010,Drug resistance,Candida krusei,Multi-drug,0
2010,Drug resistance,Candida krusei,Voriconazole,0
2010,Drug resistance,Candida parapsilosis,Echinocandin,0
2010,Drug resistance,Candida parapsilosis,Fluconazole,0.034
2010,Drug resistance,Candida parapsilosis,Multi-drug,0
2010,Drug resistance,Candida parapsilosis,Voriconazole,0
2010,Drug resistance,Candida tropicalis,Echinocandin,0
2010,Drug resistance,Candida tropicalis,Fluconazole,0.036
2010,Drug resistance,Candida tropicalis,Multi-drug,0
2010,Drug resistance,Candida tropicalis,Voriconazole,0.012
2010,Drug resistance,Georgia,Echinocandin,0.011
2010,Drug resistance,Georgia,Fluconazole,0.059
2010,Drug resistance,Georgia,Multi-drug,0
2010,Drug resistance,Georgia,Voriconazole,0.003
2010,Drug resistance,Maryland,Echinocandin,0.003
2010,Drug resistance,Maryland,Fluconazole,0.075
2010,Drug resistance,Maryland,Multi-drug,0
2010,Drug resistance,Maryland,Voriconazole,0.009
2010,Incidence,Age,< 1 year,26.8
2010,Incidence,Age,> 65 years,60.9
2010,Incidence,Age,1-18 years,2
2010,Incidence,Age,19-44 years,6.9
2010,Incidence,Age,45-64 years,24.9
2010,Incidence,Age,All cases,15.8
2010,Incidence,All cases,All cases,15.8
2010,Incidence,Area,All cases,15.8
2010,Incidence,Area,Georgia,12.7
2010,Incidence,Area,Maryland,23.8
2010,Incidence,Race,All cases,15.8
2010,Incidence,Race,Black,22.8
2010,Incidence,Race,Non-black,9.9
2010,Incidence,Sex,All cases,15.8
2010,Incidence,Sex,Female,13.8
2010,Incidence,Sex,Male,18
2010,Mortality,48-hour mortality,All cases,1.2
2010,Mortality,48-hour mortality,Georgia,1
2010,Mortality,48-hour mortality,Maryland,1.9
2010,Mortality,At hospital discharge,All cases,3.9
2010,Mortality,At hospital discharge,Georgia,3.5
2010,Mortality,At hospital discharge,Maryland,4.7
2010,Species,Area: All,C. albicans,0.361
2010,Species,Area: All,C. glabrata,0.26
2010,Species,Area: All,C. krusei,0.011
2010,Species,Area: All,C. lusitaniae,0.021
2010,Species,Area: All,C. parapsilosis,0.162
2010,Species,Area: All,C. tropicalis,0.104
2010,Species,Area: All,"Candida, multiple species",0.051
2010,Species,Area: All,"Candida, other species",0.03
2010,Species,Area: Georgia,C. albicans,0.391
2010,Species,Area: Georgia,C. glabrata,0.226
2010,Species,Area: Georgia,C. krusei,0.015
2010,Species,Area: Georgia,C. lusitaniae,0.024
2010,Species,Area: Georgia,C. parapsilosis,0.175
2010,Species,Area: Georgia,C. tropicalis,0.098
2010,Species,Area: Georgia,"Candida, multiple species",0.045
2010,Species,Area: Georgia,"Candida, other species",0.026
2010,Species,Area: Maryland,C. albicans,0.321
2010,Species,Area: Maryland,C. glabrata,0.306
2010,Species,Area: Maryland,C. krusei,0.006
2010,Species,Area: Maryland,C. lusitaniae,0.018
2010,Species,Area: Maryland,C. parapsilosis,0.144
2010,Species,Area: Maryland,C. tropicalis,0.112
2010,Species,Area: Maryland,"Candida, multiple species",0.059
2010,Species,Area: Maryland,"Candida, other species",0.035
2011,Drug resistance,Candida albicans,Echinocandin,0.003
2011,Drug resistance,Candida albicans,Fluconazole,0.01
2011,Drug resistance,Candida albicans,Multi-drug,0
2011,Drug resistance,Candida albicans,Voriconazole,0
2011,Drug resistance,Candida glabrata,Echinocandin,0.059
2011,Drug resistance,Candida glabrata,Fluconazole,0.083
2011,Drug resistance,Candida glabrata,Multi-drug,0.027
2011,Drug resistance,Candida krusei,Echinocandin,0
2011,Drug resistance,Candida krusei,Multi-drug,0
2011,Drug resistance,Candida krusei,Voriconazole,0
2011,Drug resistance,Candida parapsilosis,Echinocandin,0
2011,Drug resistance,Candida parapsilosis,Fluconazole,0.036
2011,Drug resistance,Candida parapsilosis,Multi-drug,0
2011,Drug resistance,Candida parapsilosis,Voriconazole,0.009
2011,Drug resistance,Candida tropicalis,Echinocandin,0.016
2011,Drug resistance,Candida tropicalis,Fluconazole,0.079
2011,Drug resistance,Candida tropicalis,Multi-drug,0
2011,Drug resistance,Candida tropicalis,Voriconazole,0.032
2011,Drug resistance,Georgia,Echinocandin,0.014
2011,Drug resistance,Georgia,Fluconazole,0.064
2011,Drug resistance,Georgia,Multi-drug,0.008
2011,Drug resistance,Georgia,Voriconazole,0.006
2011,Drug resistance,Maryland,Echinocandin,0.043
2011,Drug resistance,Maryland,Fluconazole,0.047
2011,Drug resistance,Maryland,Multi-drug,0.013
2011,Drug resistance,Maryland,Voriconazole,0.004
2011,Drug resistance,Oregon,Echinocandin,0
2011,Drug resistance,Oregon,Fluconazole,0.022
2011,Drug resistance,Oregon,Multi-drug,0
2011,Drug resistance,Oregon,Voriconazole,0
2011,Drug resistance,Tennessee,Echinocandin,0
2011,Drug resistance,Tennessee,Fluconazole,0.032
2011,Drug resistance,Tennessee,Multi-drug,0
2011,Drug resistance,Tennessee,Voriconazole,0
2011,Incidence,Age,< 1 year,13.5
2011,Incidence,Age,> 65 years,34.8
2011,Incidence,Age,1-18 years,1.6
2011,Incidence,Age,19-44 years,5.6
2011,Incidence,Age,45-64 years,15.6
2011,Incidence,Age,All cases,10.6
2011,Incidence,All cases,All cases,10.6
2011,Incidence,Area,All cases,10.6
2011,Incidence,Area,Georgia,11.4
2011,Incidence,Area,Maryland,17.2
2011,Incidence,Area,Oregon,3.9
2011,Incidence,Area,Tennessee,9
2011,Incidence,Race,All cases,10.6
2011,Incidence,Race,Black,18.3
2011,Incidence,Race,Non-black,6.9
2011,Incidence,Sex,All cases,10.6
2011,Incidence,Sex,Female,9.9
2011,Incidence,Sex,Male,11.3
2011,Mortality,48-hour mortality,All cases,0.8
2011,Mortality,48-hour mortality,Georgia,1
2011,Mortality,48-hour mortality,Maryland,1
2011,Mortality,48-hour mortality,Oregon,0.2
2011,Mortality,48-hour mortality,Tennessee,1.3
2011,Mortality,At hospital discharge,All cases,2.6
2011,Mortality,At hospital discharge,Georgia,3.1
2011,Mortality,At hospital discharge,Maryland,3.8
2011,Mortality,At hospital discharge,Oregon,0.6
2011,Mortality,At hospital discharge,Tennessee,2.1
2011,Species,Area: All,C. albicans,0.401
2011,Species,Area: All,C. glabrata,0.278
2011,Species,Area: All,C. krusei,0.013
2011,Species,Area: All,C. lusitaniae,0.018
2011,Species,Area: All,C. parapsilosis,0.152
2011,Species,Area: All,C. tropicalis,0.083
2011,Species,Area: All,"Candida, multiple species",0.03
2011,Species,Area: All,"Candida, other species",0.024
2011,Species,Area: Georgia,C. albicans,0.414
2011,Species,Area: Georgia,C. glabrata,0.245
2011,Species,Area: Georgia,C. krusei,0.012
2011,Species,Area: Georgia,C. lusitaniae,0.012
2011,Species,Area: Georgia,C. parapsilosis,0.185
2011,Species,Area: Georgia,C. tropicalis,0.084
2011,Species,Area: Georgia,"Candida, multiple species",0.026
2011,Species,Area: Georgia,"Candida, other species",0.023
2011,Species,Area: Maryland,C. albicans,0.32
2011,Species,Area: Maryland,C. glabrata,0.348
2011,Species,Area: Maryland,C. krusei,0.012
2011,Species,Area: Maryland,C. lusitaniae,0.024
2011,Species,Area: Maryland,C. parapsilosis,0.13
2011,Species,Area: Maryland,C. tropicalis,0.101
2011,Species,Area: Maryland,"Candida, multiple species",0.032
2011,Species,Area: Maryland,"Candida, other species",0.032
2011,Species,Area: Oregon,C. albicans,0.523
2011,Species,Area: Oregon,C. glabrata,0.246
2011,Species,Area: Oregon,C. krusei,0.015
2011,Species,Area: Oregon,C. lusitaniae,0.031
2011,Species,Area: Oregon,C. parapsilosis,0.123
2011,Species,Area: Oregon,C. tropicalis,0.015
2011,Species,Area: Oregon,"Candida, multiple species",0.031
2011,Species,Area: Oregon,"Candida, other species",0.015
2011,Species,Area: Tennessee,C. albicans,0.482
2011,Species,Area: Tennessee,C. glabrata,0.265
2011,Species,Area: Tennessee,C. krusei,0.024
2011,Species,Area: Tennessee,C. lusitaniae,0.024
2011,Species,Area: Tennessee,C. parapsilosis,0.072
2011,Species,Area: Tennessee,C. tropicalis,0.072
2011,Species,Area: Tennessee,"Candida, multiple species",0.048
2011,Species,Area: Tennessee,"Candida, other species",0.012
2012,Drug resistance,Candida albicans,Echinocandin,0
2012,Drug resistance,Candida albicans,Fluconazole,0.004
2012,Drug resistance,Candida albicans,Multi-drug,0
2012,Drug resistance,Candida albicans,Voriconazole,0.026
2012,Drug resistance,Candida glabrata,Echinocandin,0.045
2012,Drug resistance,Candida glabrata,Fluconazole,0.085
2012,Drug resistance,Candida glabrata,Multi-drug,0.01
2012,Drug resistance,Candida krusei,Echinocandin,0
2012,Drug resistance,Candida krusei,Multi-drug,0
2012,Drug resistance,Candida krusei,Voriconazole,0
2012,Drug resistance,Candida parapsilosis,Echinocandin,0
2012,Drug resistance,Candida parapsilosis,Fluconazole,0.045
2012,Drug resistance,Candida parapsilosis,Multi-drug,0
2012,Drug resistance,Candida parapsilosis,Voriconazole,0
2012,Drug resistance,Candida tropicalis,Echinocandin,0
2012,Drug resistance,Candida tropicalis,Fluconazole,0.059
2012,Drug resistance,Candida tropicalis,Multi-drug,0
2012,Drug resistance,Candida tropicalis,Voriconazole,0.02
2012,Drug resistance,Georgia,Echinocandin,0.017
2012,Drug resistance,Georgia,Fluconazole,0.08
2012,Drug resistance,Georgia,Multi-drug,0.007
2012,Drug resistance,Georgia,Voriconazole,0.01
2012,Drug resistance,Maryland,Echinocandin,0.022
2012,Drug resistance,Maryland,Fluconazole,0.049
2012,Drug resistance,Maryland,Multi-drug,0
2012,Drug resistance,Maryland,Voriconazole,0.005
2012,Drug resistance,Oregon,Echinocandin,0
2012,Drug resistance,Oregon,Fluconazole,0.052
2012,Drug resistance,Oregon,Multi-drug,0
2012,Drug resistance,Oregon,Voriconazole,0
2012,Drug resistance,Tennessee,Echinocandin,0
2012,Drug resistance,Tennessee,Fluconazole,0.075
2012,Drug resistance,Tennessee,Multi-drug,0
2012,Drug resistance,Tennessee,Voriconazole,0.05
2012,Incidence,Age,< 1 year,17.5
2012,Incidence,Age,> 65 years,27.5
2012,Incidence,Age,1-18 years,1.4
2012,Incidence,Age,19-44 years,5.3
2012,Incidence,Age,45-64 years,13.2
2012,Incidence,Age,All cases,9.1
2012,Incidence,All cases,All cases,9.1
2012,Incidence,Area,All cases,9.1
2012,Incidence,Area,Georgia,9.4
2012,Incidence,Area,Maryland,13.1
2012,Incidence,Area,Oregon,4.4
2012,Incidence,Area,Tennessee,10.4
2012,Incidence,Race,All cases,9.1
2012,Incidence,Race,Black,16.2
2012,Incidence,Race,Non-black,5.6
2012,Incidence,Sex,All cases,9.1
2012,Incidence,Sex,Female,8.3
2012,Incidence,Sex,Male,10
2012,Mortality,48-hour mortality,All cases,0.7
2012,Mortality,48-hour mortality,Georgia,0.7
2012,Mortality,48-hour mortality,Maryland,1.2
2012,Mortality,48-hour mortality,Oregon,0.3
2012,Mortality,48-hour mortality,Tennessee,1
2012,Mortality,At hospital discharge,All cases,2.3
2012,Mortality,At hospital discharge,Georgia,2.3
2012,Mortality,At hospital discharge,Maryland,3.6
2012,Mortality,At hospital discharge,Oregon,0.9
2012,Mortality,At hospital discharge,Tennessee,3
2012,Species,Area: All,C. albicans,0.38
2012,Species,Area: All,C. glabrata,0.289
2012,Species,Area: All,C. krusei,0.024
2012,Species,Area: All,C. lusitaniae,0.024
2012,Species,Area: All,C. parapsilosis,0.122
2012,Species,Area: All,C. tropicalis,0.074
2012,Species,Area: All,"Candida, multiple species",0.046
2012,Species,Area: All,"Candida, other species",0.042
2012,Species,Area: Georgia,C. albicans,0.382
2012,Species,Area: Georgia,C. glabrata,0.273
2012,Species,Area: Georgia,C. krusei,0.028
2012,Species,Area: Georgia,C. lusitaniae,0.025
2012,Species,Area: Georgia,C. parapsilosis,0.142
2012,Species,Area: Georgia,C. tropicalis,0.075
2012,Species,Area: Georgia,"Candida, multiple species",0.039
2012,Species,Area: Georgia,"Candida, other species",0.036
2012,Species,Area: Maryland,C. albicans,0.344
2012,Species,Area: Maryland,C. glabrata,0.349
2012,Species,Area: Maryland,C. krusei,0.011
2012,Species,Area: Maryland,C. lusitaniae,0.016
2012,Species,Area: Maryland,C. parapsilosis,0.09
2012,Species,Area: Maryland,C. tropicalis,0.095
2012,Species,Area: Maryland,"Candida, multiple species",0.058
2012,Species,Area: Maryland,"Candida, other species",0.037
2012,Species,Area: Oregon,C. albicans,0.365
2012,Species,Area: Oregon,C. glabrata,0.203
2012,Species,Area: Oregon,C. krusei,0.027
2012,Species,Area: Oregon,C. lusitaniae,0.014
2012,Species,Area: Oregon,C. parapsilosis,0.189
2012,Species,Area: Oregon,C. tropicalis,0.027
2012,Species,Area: Oregon,"Candida, multiple species",0.081
2012,Species,Area: Oregon,"Candida, other species",0.095
2012,Species,Area: Tennessee,C. albicans,0.454
2012,Species,Area: Tennessee,C. glabrata,0.299
2012,Species,Area: Tennessee,C. krusei,0.031
2012,Species,Area: Tennessee,C. lusitaniae,0.041
2012,Species,Area: Tennessee,C. parapsilosis,0.062
2012,Species,Area: Tennessee,C. tropicalis,0.062
2012,Species,Area: Tennessee,"Candida, multiple species",0.021
2012,Species,Area: Tennessee,"Candida, other species",0.031
2013,Drug resistance,Candida albicans,Echinocandin,0.009
2013,Drug resistance,Candida albicans,Fluconazole,0.005
2013,Drug resistance,Candida albicans,Multi-drug,0
2013,Drug resistance,Candida albicans,Voriconazole,0
2013,Drug resistance,Candida glabrata,Echinocandin,0.083
2013,Drug resistance,Candida glabrata,Fluconazole,0.072
2013,Drug resistance,Candida glabrata,Multi-drug,0.028
2013,Drug resistance,Candida krusei,Echinocandin,0.167
2013,Drug resistance,Candida krusei,Multi-drug,0.167
2013,Drug resistance,Candida krusei,Voriconazole,0
2013,Drug resistance,Candida parapsilosis,Echinocandin,0
2013,Drug resistance,Candida parapsilosis,Fluconazole,0.044
2013,Drug resistance,Candida parapsilosis,Multi-drug,0
2013,Drug resistance,Candida parapsilosis,Voriconazole,0.022
2013,Drug resistance,Candida tropicalis,Echinocandin,0
2013,Drug resistance,Candida tropicalis,Fluconazole,0.018
2013,Drug resistance,Candida tropicalis,Multi-drug,0
2013,Drug resistance,Candida tropicalis,Voriconazole,0.018
2013,Drug resistance,Georgia,Echinocandin,0.044
2013,Drug resistance,Georgia,Fluconazole,0.072
2013,Drug resistance,Georgia,Multi-drug,0.016
2013,Drug resistance,Georgia,Voriconazole,0.004
2013,Drug resistance,Maryland,Echinocandin,0.036
2013,Drug resistance,Maryland,Fluconazole,0.036
2013,Drug resistance,Maryland,Multi-drug,0.016
2013,Drug resistance,Maryland,Voriconazole,0.005
2013,Drug resistance,Oregon,Echinocandin,0.02
2013,Drug resistance,Oregon,Fluconazole,0.098
2013,Drug resistance,Oregon,Multi-drug,0
2013,Drug resistance,Oregon,Voriconazole,0.02
2013,Drug resistance,Tennessee,Echinocandin,0
2013,Drug resistance,Tennessee,Fluconazole,0.016
2013,Drug resistance,Tennessee,Multi-drug,0
2013,Drug resistance,Tennessee,Voriconazole,0
2013,Incidence,Age,< 1 year,17.7
2013,Incidence,Age,> 65 years,26.2
2013,Incidence,Age,1-18 years,1.1
2013,Incidence,Age,19-44 years,4.2
2013,Incidence,Age,45-64 years,12.7
2013,Incidence,Age,All cases,8.4
2013,Incidence,All cases,All cases,8.4
2013,Incidence,Area,All cases,8.4
2013,Incidence,Area,Georgia,8.6
2013,Incidence,Area,Maryland,14.1
2013,Incidence,Area,Oregon,3.3
2013,Incidence,Area,Tennessee,8.2
2013,Incidence,Race,All cases,8.4
2013,Incidence,Race,Black,13.8
2013,Incidence,Race,Non-black,5.7
2013,Incidence,Sex,All cases,8.4
2013,Incidence,Sex,Female,7.9
2013,Incidence,Sex,Male,9
2013,Mortality,48-hour mortality,All cases,0.8
2013,Mortality,48-hour mortality,Georgia,0.7
2013,Mortality,48-hour mortality,Maryland,1.5
2013,Mortality,48-hour mortality,Oregon,0.2
2013,Mortality,48-hour mortality,Tennessee,1.1
2013,Mortality,At hospital discharge,All cases,2.2
2013,Mortality,At hospital discharge,Georgia,2.2
2013,Mortality,At hospital discharge,Maryland,4.1
2013,Mortality,At hospital discharge,Oregon,0.7
2013,Mortality,At hospital discharge,Tennessee,2.2
2013,Species,Area: All,C. albicans,0.344
2013,Species,Area: All,C. glabrata,0.28
2013,Species,Area: All,C. krusei,0.019
2013,Species,Area: All,C. lusitaniae,0.024
2013,Species,Area: All,C. parapsilosis,0.145
2013,Species,Area: All,C. tropicalis,0.091
2013,Species,Area: All,"Candida, multiple species",0.052
2013,Species,Area: All,"Candida, other species",0.045
2013,Species,Area: Georgia,C. albicans,0.369
2013,Species,Area: Georgia,C. glabrata,0.261
2013,Species,Area: Georgia,C. krusei,0.018
2013,Species,Area: Georgia,C. lusitaniae,0.033
2013,Species,Area: Georgia,C. parapsilosis,0.159
2013,Species,Area: Georgia,C. tropicalis,0.078
2013,Species,Area: Georgia,"Candida, multiple species",0.045
2013,Species,Area: Georgia,"Candida, other species",0.036
2013,Species,Area: Maryland,C. albicans,0.304
2013,Species,Area: Maryland,C. glabrata,0.294
2013,Species,Area: Maryland,C. krusei,0.02
2013,Species,Area: Maryland,C. lusitaniae,0.01
2013,Species,Area: Maryland,C. parapsilosis,0.152
2013,Species,Area: Maryland,C. tropicalis,0.118
2013,Species,Area: Maryland,"Candida, multiple species",0.054
2013,Species,Area: Maryland,"Candida, other species",0.049
2013,Species,Area: Oregon,C. albicans,0.298
2013,Species,Area: Oregon,C. glabrata,0.333
2013,Species,Area: Oregon,C. krusei,0.053
2013,Species,Area: Oregon,C. lusitaniae,0.018
2013,Species,Area: Oregon,C. parapsilosis,0.123
2013,Species,Area: Oregon,C. tropicalis,0.053
2013,Species,Area: Oregon,"Candida, multiple species",0.053
2013,Species,Area: Oregon,"Candida, other species",0.07
2013,Species,Area: Tennessee,C. albicans,0.377
2013,Species,Area: Tennessee,C. glabrata,0.286
2013,Species,Area: Tennessee,C. krusei,0
2013,Species,Area: Tennessee,C. lusitaniae,0.026
2013,Species,Area: Tennessee,C. parapsilosis,0.078
2013,Species,Area: Tennessee,C. tropicalis,0.104
2013,Species,Area: Tennessee,"Candida, multiple species",0.078
2013,Species,Area: Tennessee,"Candida, other species",0.052
2014,Drug resistance,Candida albicans,Echinocandin,0.008
2014,Drug resistance,Candida albicans,Fluconazole,0.008
2014,Drug resistance,Candida albicans,Multi-drug,0
2014,Drug resistance,Candida albicans,Voriconazole,0
2014,Drug resistance,Candida glabrata,Echinocandin,0.038
2014,Drug resistance,Candida glabrata,Fluconazole,0.077
2014,Drug resistance,Candida glabrata,Multi-drug,0.011
2014,Drug resistance,Candida krusei,Echinocandin,0
2014,Drug resistance,Candida krusei,Multi-drug,0
2014,Drug resistance,Candida krusei,Voriconazole,0
2014,Drug resistance,Candida parapsilosis,Echinocandin,0
2014,Drug resistance,Candida parapsilosis,Fluconazole,0.049
2014,Drug resistance,Candida parapsilosis,Multi-drug,0
2014,Drug resistance,Candida parapsilosis,Voriconazole,0.01
2014,Drug resistance,Candida tropicalis,Echinocandin,0
2014,Drug resistance,Candida tropicalis,Fluconazole,0.082
2014,Drug resistance,Candida tropicalis,Multi-drug,0
2014,Drug resistance,Candida tropicalis,Voriconazole,0.033
2014,Drug resistance,Georgia,Echinocandin,0.023
2014,Drug resistance,Georgia,Fluconazole,0.064
2014,Drug resistance,Georgia,Multi-drug,0.008
2014,Drug resistance,Georgia,Voriconazole,0.008
2014,Drug resistance,Maryland,Echinocandin,0.009
2014,Drug resistance,Maryland,Fluconazole,0.066
2014,Drug resistance,Maryland,Multi-drug,0
2014,Drug resistance,Maryland,Voriconazole,0
2014,Drug resistance,Oregon,Echinocandin,0.014
2014,Drug resistance,Oregon,Fluconazole,0.043
2014,Drug resistance,Oregon,Multi-drug,0
2014,Drug resistance,Oregon,Voriconazole,0
2014,Drug resistance,Tennessee,Echinocandin,0
2014,Drug resistance,Tennessee,Fluconazole,0.053
2014,Drug resistance,Tennessee,Multi-drug,0
2014,Drug resistance,Tennessee,Voriconazole,0.013
2014,Incidence,Age,< 1 year,16.6
2014,Incidence,Age,> 65 years,26.2
2014,Incidence,Age,1-18 years,0.8
2014,Incidence,Age,19-44 years,5.2
2014,Incidence,Age,45-64 years,12.9
2014,Incidence,Age,All cases,8.9
2014,Incidence,All cases,All cases,8.9
2014,Incidence,Area,All cases,8.9
2014,Incidence,Area,Georgia,8.4
2014,Incidence,Area,Maryland,15.6
2014,Incidence,Area,Oregon,4.1
2014,Incidence,Area,Tennessee,9.7
2014,Incidence,Race,All cases,8.9
2014,Incidence,Race,Black,14.4
2014,Incidence,Race,Non-black,5.8
2014,Incidence,Sex,All cases,8.9
2014,Incidence,Sex,Female,8.2
2014,Incidence,Sex,Male,9.6
2014,Mortality,48-hour mortality,All cases,0.6
2014,Mortality,48-hour mortality,Georgia,0.6
2014,Mortality,48-hour mortality,Maryland,1.1
2014,Mortality,48-hour mortality,Oregon,0.2
2014,Mortality,48-hour mortality,Tennessee,1.1
2014,Mortality,At hospital discharge,All cases,2.2
2014,Mortality,At hospital discharge,Georgia,2.1
2014,Mortality,At hospital discharge,Maryland,3.9
2014,Mortality,At hospital discharge,Oregon,0.7
2014,Mortality,At hospital discharge,Tennessee,2.4
2014,Species,Area: All,C. albicans,0.397
2014,Species,Area: All,C. glabrata,0.25
2014,Species,Area: All,C. krusei,0.015
2014,Species,Area: All,C. lusitaniae,0.008
2014,Species,Area: All,C. parapsilosis,0.152
2014,Species,Area: All,C. tropicalis,0.085
2014,Species,Area: All,"Candida, multiple species",0.05
2014,Species,Area: All,"Candida, other species",0.042
2014,Species,Area: Georgia,C. albicans,0.448
2014,Species,Area: Georgia,C. glabrata,0.213
2014,Species,Area: Georgia,C. krusei,0.015
2014,Species,Area: Georgia,C. lusitaniae,0.018
2014,Species,Area: Georgia,C. parapsilosis,0.174
2014,Species,Area: Georgia,C. tropicalis,0.07
2014,Species,Area: Georgia,"Candida, multiple species",0.027
2014,Species,Area: Georgia,"Candida, other species",0.034
2014,Species,Area: Maryland,C. albicans,0.358
2014,Species,Area: Maryland,C. glabrata,0.27
2014,Species,Area: Maryland,C. krusei,0.022
2014,Species,Area: Maryland,C. lusitaniae,0
2014,Species,Area: Maryland,C. parapsilosis,0.133
2014,Species,Area: Maryland,C. tropicalis,0.097
2014,Species,Area: Maryland,"Candida, multiple species",0.066
2014,Species,Area: Maryland,"Candida, other species",0.053
2014,Species,Area: Oregon,C. albicans,0.268
2014,Species,Area: Oregon,C. glabrata,0.282
2014,Species,Area: Oregon,C. krusei,0.014
2014,Species,Area: Oregon,C. lusitaniae,0
2014,Species,Area: Oregon,C. parapsilosis,0.197
2014,Species,Area: Oregon,C. tropicalis,0.085
2014,Species,Area: Oregon,"Candida, multiple species",0.113
2014,Species,Area: Oregon,"Candida, other species",0.042
2014,Species,Area: Tennessee,C. albicans,0.407
2014,Species,Area: Tennessee,C. glabrata,0.308
2014,Species,Area: Tennessee,C. krusei,0
2014,Species,Area: Tennessee,C. lusitaniae,0
2014,Species,Area: Tennessee,C. parapsilosis,0.088
2014,Species,Area: Tennessee,C. tropicalis,0.11
2014,Species,Area: Tennessee,"Candida, multiple species",0.044
2014,Species,Area: Tennessee,"Candida, other species",0.024
2015,Drug resistance,Candida albicans,Echinocandin,0.012
2015,Drug resistance,Candida albicans,Fluconazole,0.004
2015,Drug resistance,Candida albicans,Multi-drug,0
2015,Drug resistance,Candida albicans,Voriconazole,0.004
2015,Drug resistance,Candida glabrata,Echinocandin,0.027
2015,Drug resistance,Candida glabrata,Fluconazole,0.07
2015,Drug resistance,Candida glabrata,Multi-drug,0.011
2015,Drug resistance,Candida krusei,Echinocandin,0
2015,Drug resistance,Candida krusei,Multi-drug,0
