Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Colorado,2016-17,All Health Care Personnel,97.1,,121300
Seasonal Influenza,States,Connecticut,2016-17,All Health Care Personnel,89.7,,94093
Seasonal Influenza,States,Delaware,2016-17,All Health Care Personnel,91.4,,30527
Seasonal Influenza,States,District of Columbia,2016-17,All Health Care Personnel,97.2,,32100
Seasonal Influenza,States,Florida,2016-17,All Health Care Personnel,77.5,,521486
Seasonal Influenza,States,Georgia,2016-17,All Health Care Personnel,89.8,,223599
Seasonal Influenza,States,Hawaii,2016-17,All Health Care Personnel,83,,24591
Seasonal Influenza,States,Idaho,2016-17,All Health Care Personnel,92,,43044
Seasonal Influenza,States,Illinois,2016-17,All Health Care Personnel,87.3,,370262
Seasonal Influenza,States,Indiana,2016-17,All Health Care Personnel,90.1,,210981
Seasonal Influenza,States,Iowa,2016-17,All Health Care Personnel,93.5,,108229
Seasonal Influenza,States,Kansas,2016-17,All Health Care Personnel,93.2,,88760
Seasonal Influenza,States,Kentucky,2016-17,All Health Care Personnel,83.1,,121934
Seasonal Influenza,States,Louisiana,2016-17,All Health Care Personnel,86.3,,131026
Seasonal Influenza,States,Maine,2016-17,All Health Care Personnel,88,,47035
Seasonal Influenza,States,Maryland,2016-17,All Health Care Personnel,96.9,,106163
Seasonal Influenza,States,Massachusetts,2016-17,All Health Care Personnel,92.2,,261409
Seasonal Influenza,States,Michigan,2016-17,All Health Care Personnel,90.5,,304991
Seasonal Influenza,States,Minnesota,2016-17,All Health Care Personnel,81.4,,165422
Seasonal Influenza,States,Mississippi,2016-17,All Health Care Personnel,83,,83434
Seasonal Influenza,States,Missouri,2016-17,All Health Care Personnel,93.3,,205772
Seasonal Influenza,States,Montana,2016-17,All Health Care Personnel,87.1,,32147
Seasonal Influenza,States,Nebraska,2016-17,All Health Care Personnel,91.7,,66649
Seasonal Influenza,States,Nevada,2016-17,All Health Care Personnel,79,,53961
Seasonal Influenza,States,New Hampshire,2016-17,All Health Care Personnel,94.8,,48901
Seasonal Influenza,States,New Jersey,2016-17,All Health Care Personnel,83.5,,219623
Seasonal Influenza,States,New Mexico,2016-17,All Health Care Personnel,86.2,,45732
Seasonal Influenza,States,New York,2016-17,All Health Care Personnel,85.9,,566694
Seasonal Influenza,States,North Carolina,2016-17,All Health Care Personnel,94.8,,254347
Seasonal Influenza,States,North Dakota,2016-17,All Health Care Personnel,90.9,,33634
Seasonal Influenza,States,Ohio,2016-17,All Health Care Personnel,86.9,,376959
Seasonal Influenza,States,Oklahoma,2016-17,All Health Care Personnel,88.7,,98345
Seasonal Influenza,States,Oregon,2016-17,All Health Care Personnel,81.2,,101856
Seasonal Influenza,States,Pennsylvania,2016-17,All Health Care Personnel,90.8,,400335
Seasonal Influenza,National,United States,2016-17,All Health Care Personnel,87.6,,8482719
Seasonal Influenza,States,Rhode Island,2016-17,All Health Care Personnel,93,,34941
Seasonal Influenza,States,South Carolina,2016-17,All Health Care Personnel,88.1,,123565
Seasonal Influenza,States,South Dakota,2016-17,All Health Care Personnel,96.4,,31533
Seasonal Influenza,States,Tennessee,2016-17,All Health Care Personnel,89.3,,183965
Seasonal Influenza,States,Texas,2016-17,All Health Care Personnel,87.3,,562687
Seasonal Influenza,States,Utah,2016-17,All Health Care Personnel,95.8,,69474
Seasonal Influenza,States,Vermont,2016-17,All Health Care Personnel,78.7,,20495
Seasonal Influenza,States,Virginia,2016-17,All Health Care Personnel,88.5,,174267
Seasonal Influenza,States,Washington,2016-17,All Health Care Personnel,89.8,,180453
Seasonal Influenza,States,West Virginia,2016-17,All Health Care Personnel,90.8,,61571
Seasonal Influenza,States,Wisconsin,2016-17,All Health Care Personnel,93.9,,194110
Seasonal Influenza,States,Wyoming,2016-17,All Health Care Personnel,90.2,,14826
Seasonal Influenza,States,Alabama,2017-18,All Health Care Personnel,86.1,,127561
Seasonal Influenza,States,Alaska,2017-18,All Health Care Personnel,73.8,,22283
Seasonal Influenza,States,Arizona,2017-18,All Health Care Personnel,88.9,,143017
Seasonal Influenza,States,Arkansas,2017-18,All Health Care Personnel,86.6,,86869
Seasonal Influenza,States,California,2017-18,All Health Care Personnel,84.7,,870350
Seasonal Influenza,States,Colorado,2017-18,All Health Care Personnel,97.6,,123004
Seasonal Influenza,States,Connecticut,2017-18,All Health Care Personnel,93.5,,95149
Seasonal Influenza,States,Delaware,2017-18,All Health Care Personnel,91.5,,35051
Seasonal Influenza,States,District of Columbia,2017-18,All Health Care Personnel,96.7,,25656
Seasonal Influenza,States,Florida,2017-18,All Health Care Personnel,79.6,,532626
Seasonal Influenza,States,Georgia,2017-18,All Health Care Personnel,90.6,,229155
Seasonal Influenza,States,Hawaii,2017-18,All Health Care Personnel,83.7,,28619
Seasonal Influenza,States,Idaho,2017-18,All Health Care Personnel,91.8,,46153
Seasonal Influenza,States,Illinois,2017-18,All Health Care Personnel,90.9,,359012
Seasonal Influenza,States,Indiana,2017-18,All Health Care Personnel,89.7,,219842
Seasonal Influenza,States,Iowa,2017-18,All Health Care Personnel,94,,104935
Seasonal Influenza,States,Kansas,2017-18,All Health Care Personnel,93.5,,90253
Seasonal Influenza,States,Kentucky,2017-18,All Health Care Personnel,90.2,,129230
Seasonal Influenza,States,Louisiana,2017-18,All Health Care Personnel,87,,130280
Seasonal Influenza,States,Maine,2017-18,All Health Care Personnel,88.8,,46486
Seasonal Influenza,States,Maryland,2017-18,All Health Care Personnel,96.4,,130606
Seasonal Influenza,States,Massachusetts,2017-18,All Health Care Personnel,92.7,,263169
Seasonal Influenza,States,Michigan,2017-18,All Health Care Personnel,90.6,,295495
Seasonal Influenza,States,Minnesota,2017-18,All Health Care Personnel,84.4,,167863
Seasonal Influenza,States,Mississippi,2017-18,All Health Care Personnel,83.2,,82863
Seasonal Influenza,States,Missouri,2017-18,All Health Care Personnel,92.6,,209125
Seasonal Influenza,States,Montana,2017-18,All Health Care Personnel,89,,34817
Seasonal Influenza,States,Nebraska,2017-18,All Health Care Personnel,88.1,,63117
Seasonal Influenza,States,Nevada,2017-18,All Health Care Personnel,77.5,,58378
Seasonal Influenza,States,New Hampshire,2017-18,All Health Care Personnel,94.3,,45727
Seasonal Influenza,States,New Jersey,2017-18,All Health Care Personnel,86.8,,225257
Seasonal Influenza,States,New Mexico,2017-18,All Health Care Personnel,86.3,,46864
Seasonal Influenza,States,New York,2017-18,All Health Care Personnel,85.8,,614569
Seasonal Influenza,States,North Carolina,2017-18,All Health Care Personnel,94.8,,265937
Seasonal Influenza,States,North Dakota,2017-18,All Health Care Personnel,92.5,,33627
Seasonal Influenza,States,Ohio,2017-18,All Health Care Personnel,85.1,,375497
Seasonal Influenza,States,Oklahoma,2017-18,All Health Care Personnel,92.4,,100354
Seasonal Influenza,States,Oregon,2017-18,All Health Care Personnel,82.9,,100827
Seasonal Influenza,States,Pennsylvania,2017-18,All Health Care Personnel,92.3,,405775
Seasonal Influenza,National,United States,2017-18,All Health Care Personnel,88.7,,8659014
Seasonal Influenza,States,Rhode Island,2017-18,All Health Care Personnel,92.8,,35043
Seasonal Influenza,States,South Carolina,2017-18,All Health Care Personnel,91,,123026
Seasonal Influenza,States,South Dakota,2017-18,All Health Care Personnel,95.8,,32948
Seasonal Influenza,States,Tennessee,2017-18,All Health Care Personnel,90.4,,187909
Seasonal Influenza,States,Texas,2017-18,All Health Care Personnel,88.9,,582818
Seasonal Influenza,States,Utah,2017-18,All Health Care Personnel,95.8,,71607
Seasonal Influenza,States,Vermont,2017-18,All Health Care Personnel,78.9,,22374
Seasonal Influenza,States,Virginia,2017-18,All Health Care Personnel,89.3,,175615
Seasonal Influenza,States,Washington,2017-18,All Health Care Personnel,90.9,,182565
Seasonal Influenza,States,West Virginia,2017-18,All Health Care Personnel,90.7,,64851
Seasonal Influenza,States,Wisconsin,2017-18,All Health Care Personnel,95.1,,200077
Seasonal Influenza,States,Wyoming,2017-18,All Health Care Personnel,92.1,,14783
Seasonal Influenza,States,Alabama,2018-19,All Health Care Personnel,88.4,,130954
Seasonal Influenza,States,Alaska,2018-19,All Health Care Personnel,82.3,,24315
Seasonal Influenza,States,Arizona,2018-19,All Health Care Personnel,92,,134496
Seasonal Influenza,States,Arkansas,2018-19,All Health Care Personnel,89.9,,92013
Seasonal Influenza,States,California,2018-19,All Health Care Personnel,85.6,,884990
Seasonal Influenza,States,Colorado,2018-19,All Health Care Personnel,96.8,,135770
Seasonal Influenza,States,Connecticut,2018-19,All Health Care Personnel,92.5,,94416
Seasonal Influenza,States,Delaware,2018-19,All Health Care Personnel,94.2,,36672
Seasonal Influenza,States,District of Columbia,2018-19,All Health Care Personnel,97.5,,23924
Seasonal Influenza,States,Florida,2018-19,All Health Care Personnel,81.5,,538827
Seasonal Influenza,States,Georgia,2018-19,All Health Care Personnel,89.8,,235680
Seasonal Influenza,States,Hawaii,2018-19,All Health Care Personnel,83.7,,25514
Seasonal Influenza,States,Idaho,2018-19,All Health Care Personnel,95.1,,45371
Seasonal Influenza,States,Illinois,2018-19,All Health Care Personnel,92.9,,355293
Seasonal Influenza,States,Indiana,2018-19,All Health Care Personnel,91.7,,227808
Seasonal Influenza,States,Iowa,2018-19,All Health Care Personnel,95.3,,103054
Seasonal Influenza,States,Kansas,2018-19,All Health Care Personnel,95.2,,90488
Seasonal Influenza,States,Kentucky,2018-19,All Health Care Personnel,92.2,,130945
Seasonal Influenza,States,Louisiana,2018-19,All Health Care Personnel,88.7,,132984
Seasonal Influenza,States,Maine,2018-19,All Health Care Personnel,90.3,,46548
Seasonal Influenza,States,Maryland,2018-19,All Health Care Personnel,97.2,,103565
Seasonal Influenza,States,Massachusetts,2018-19,All Health Care Personnel,94.9,,271247
Seasonal Influenza,States,Michigan,2018-19,All Health Care Personnel,92.2,,302309
Seasonal Influenza,States,Minnesota,2018-19,All Health Care Personnel,85.1,,177490
Seasonal Influenza,States,Mississippi,2018-19,All Health Care Personnel,88,,84592
Seasonal Influenza,States,Missouri,2018-19,All Health Care Personnel,94,,210719
Seasonal Influenza,States,Montana,2018-19,All Health Care Personnel,90.7,,35205
Seasonal Influenza,States,Nebraska,2018-19,All Health Care Personnel,92.3,,59299
Seasonal Influenza,States,Nevada,2018-19,All Health Care Personnel,82.9,,55565
Seasonal Influenza,States,New Hampshire,2018-19,All Health Care Personnel,94.6,,46810
Seasonal Influenza,States,New Jersey,2018-19,All Health Care Personnel,88.6,,219114
Seasonal Influenza,States,New Mexico,2018-19,All Health Care Personnel,88.2,,49493
Seasonal Influenza,States,New York,2018-19,All Health Care Personnel,87,,594292
Seasonal Influenza,States,North Carolina,2018-19,All Health Care Personnel,94.5,,270414
Seasonal Influenza,States,North Dakota,2018-19,All Health Care Personnel,93.1,,37179
Seasonal Influenza,States,Ohio,2018-19,All Health Care Personnel,87.3,,377862
Seasonal Influenza,States,Oklahoma,2018-19,All Health Care Personnel,94.2,,105150
Seasonal Influenza,States,Oregon,2018-19,All Health Care Personnel,85.8,,101103
Seasonal Influenza,States,Pennsylvania,2018-19,All Health Care Personnel,93.4,,395570
Seasonal Influenza,National,United States,2018-19,All Health Care Personnel,90,,8709964
Seasonal Influenza,States,Rhode Island,2018-19,All Health Care Personnel,92.9,,36451
Seasonal Influenza,States,South Carolina,2018-19,All Health Care Personnel,90.8,,121770
Seasonal Influenza,States,South Dakota,2018-19,All Health Care Personnel,96.5,,32853
Seasonal Influenza,States,Tennessee,2018-19,All Health Care Personnel,91.6,,193828
Seasonal Influenza,States,Texas,2018-19,All Health Care Personnel,89.3,,598426
Seasonal Influenza,States,Utah,2018-19,All Health Care Personnel,95.1,,72680
Seasonal Influenza,States,Vermont,2018-19,All Health Care Personnel,82.2,,22525
Seasonal Influenza,States,Virginia,2018-19,All Health Care Personnel,90.9,,176737
Seasonal Influenza,States,Washington,2018-19,All Health Care Personnel,91.1,,176500
Seasonal Influenza,States,West Virginia,2018-19,All Health Care Personnel,93.1,,68845
Seasonal Influenza,States,Wisconsin,2018-19,All Health Care Personnel,96.2,,207191
Seasonal Influenza,States,Wyoming,2018-19,All Health Care Personnel,91.5,,15118
Seasonal Influenza,States,Alabama,2020-21,All Health Care Personnel,86.9,,128560
Seasonal Influenza,States,Alaska,2020-21,All Health Care Personnel,79,,21923
Seasonal Influenza,States,Arizona,2020-21,All Health Care Personnel,84.5,,127534
Seasonal Influenza,States,Arkansas,2020-21,All Health Care Personnel,88.7,,84684
Seasonal Influenza,States,California,2020-21,All Health Care Personnel,80.1,,830517
Seasonal Influenza,States,Colorado,2020-21,All Health Care Personnel,95.7,,147723
Seasonal Influenza,States,Connecticut,2020-21,All Health Care Personnel,87.7,,98812
Seasonal Influenza,States,Delaware,2020-21,All Health Care Personnel,90.8,,30342
Seasonal Influenza,States,District of Columbia,2020-21,All Health Care Personnel,93.2,,22862
Seasonal Influenza,States,Florida,2020-21,All Health Care Personnel,72.7,,483939
Seasonal Influenza,States,Georgia,2020-21,All Health Care Personnel,83.3,,233735
Seasonal Influenza,States,Hawaii,2020-21,All Health Care Personnel,82.7,,28146
Seasonal Influenza,States,Idaho,2020-21,All Health Care Personnel,89.8,,48075
Seasonal Influenza,States,Illinois,2020-21,All Health Care Personnel,91.6,,318033
Seasonal Influenza,States,Indiana,2020-21,All Health Care Personnel,89.2,,223303
Seasonal Influenza,States,Iowa,2020-21,All Health Care Personnel,93.4,,93040
Seasonal Influenza,States,Kansas,2020-21,All Health Care Personnel,91.3,,82291
Seasonal Influenza,States,Kentucky,2020-21,All Health Care Personnel,85.9,,131972
Seasonal Influenza,States,Louisiana,2020-21,All Health Care Personnel,81.1,,142536
Seasonal Influenza,States,Maine,2020-21,All Health Care Personnel,91.9,,39750
Seasonal Influenza,States,Maryland,2020-21,All Health Care Personnel,95.5,,113378
Seasonal Influenza,States,Massachusetts,2020-21,All Health Care Personnel,95.6,,244494
Seasonal Influenza,States,Michigan,2020-21,All Health Care Personnel,89.5,,279196
Seasonal Influenza,States,Minnesota,2020-21,All Health Care Personnel,82.9,,146825
Seasonal Influenza,States,Mississippi,2020-21,All Health Care Personnel,81.1,,79821
Seasonal Influenza,States,Missouri,2020-21,All Health Care Personnel,93.9,,182937
Seasonal Influenza,States,Montana,2020-21,All Health Care Personnel,86,,34495
Seasonal Influenza,States,Nebraska,2020-21,All Health Care Personnel,88,,59594
Seasonal Influenza,States,Nevada,2020-21,All Health Care Personnel,69.3,,54757
Seasonal Influenza,States,New Hampshire,2020-21,All Health Care Personnel,94.8,,45045
Seasonal Influenza,States,New Jersey,2020-21,All Health Care Personnel,87.5,,205079
Seasonal Influenza,States,New Mexico,2020-21,All Health Care Personnel,80.5,,50101
Seasonal Influenza,States,New York,2020-21,All Health Care Personnel,78.6,,562603
